,id,name,start_date,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,sport_type,gear_id,average_speed,max_speed
78,6822235722,Morning Ride,2022-03-12T11:11:52Z,2022-03-12T08:11:52Z,Ride,20818.8,4457,85658,558.0,Ride,b9757407,4.671,12.906
79,6803422896,Morning Ride,2022-03-10T10:41:10Z,2022-03-10T07:41:10Z,Ride,25401.5,4503,4587,286.0,Ride,b9757407,5.641,13.54
80,6791757641,Morning Ride,2022-03-08T10:45:42Z,2022-03-08T07:45:42Z,Ride,31713.1,5800,6123,360.0,Ride,b9757407,5.468,15.102
81,6788795167,Morning Ride,2022-03-05T10:30:46Z,2022-03-05T07:30:46Z,Ride,22711.2,5444,16242,511.0,Ride,b9757407,4.172,12.882
82,6771165083,Morning Ride,2022-03-04T10:27:21Z,2022-03-04T07:27:21Z,Ride,25359.5,4586,4605,290.0,Ride,b9757407,5.53,16.124
83,6768394968,Morning Ride,2022-03-02T12:35:20Z,2022-03-02T09:35:20Z,Ride,21229.4,4905,11516,560.0,Ride,b9757407,4.328,12.714
84,6768394928,Morning Ride,2022-02-27T10:56:56Z,2022-02-27T07:56:56Z,Ride,27362.7,7255,14917,904.0,Ride,b9757407,3.772,12.546
85,6735710110,Morning Ride,2022-02-25T10:35:53Z,2022-02-25T07:35:53Z,Ride,23873.1,4585,5054,338.0,Ride,b9757407,5.207,13.942
86,6715473985,Morning Ride,2022-02-20T11:28:11Z,2022-02-20T08:28:11Z,Ride,22228.6,6651,13920,490.0,Ride,b9757407,3.342,11.594
87,6715473905,Morning Ride,2022-02-19T11:16:31Z,2022-02-19T08:16:31Z,Ride,21380.9,4872,16326,456.0,Ride,b9757407,4.389,12.928
88,6691554398,Morning Ride,2022-02-16T10:36:44Z,2022-02-16T07:36:44Z,Ride,33695.1,5786,5815,435.0,Ride,b9757407,5.824,16.812
89,6682550979,Morning Ride,2022-02-12T10:41:24Z,2022-02-12T07:41:24Z,Ride,23528.2,5771,17457,553.0,Ride,b9757407,4.077,13.562
90,6682550888,Morning Ride,2022-02-04T11:12:35Z,2022-02-04T08:12:35Z,Ride,23165.6,5241,8880,516.0,Ride,b9757407,4.42,13.826
91,6614489180,Morning Ride,2022-02-01T10:36:33Z,2022-02-01T07:36:33Z,Ride,30245.8,5042,6064,307.0,Ride,b9757407,5.999,11.532
92,6614489184,Morning Ride,2022-01-20T11:56:47Z,2022-01-20T08:56:47Z,Ride,26633.9,5036,5137,370.0,Ride,b9757407,5.289,12.974
93,6537949170,Morning Ride,2022-01-15T10:53:38Z,2022-01-15T07:53:38Z,Ride,21646.8,7023,18240,558.0,Ride,b9757407,3.082,12.498
94,6477202315,Morning Ride,2022-01-05T11:32:15Z,2022-01-05T08:32:15Z,Ride,25538.6,5983,8599,610.0,Ride,b9757407,4.269,15.424
95,6439073741,Morning Ride,2021-12-28T11:58:04Z,2021-12-28T08:58:04Z,Ride,27546.8,5247,5643,374.0,Ride,b9757407,5.25,11.852
96,6439073720,Morning Ride - Big Line PDZ,2021-12-26T11:02:07Z,2021-12-26T08:02:07Z,Ride,23883.3,5834,15116,590.0,Ride,b9757407,4.094,13.132
97,6439073648,Morning Ride,2021-12-24T11:17:15Z,2021-12-24T08:17:15Z,Ride,22081.5,4426,171855,505.0,Ride,b9757407,4.989,13.56
98,6414775172,Morning Ride,2021-12-22T11:35:17Z,2021-12-22T08:35:17Z,Ride,16702.7,4097,4379,292.0,Ride,b9757407,4.077,11.21
99,6390666679,Morning Ride,2021-12-16T11:04:18Z,2021-12-16T08:04:18Z,Ride,31179.1,4546,4580,326.0,Ride,b9757407,6.859,15.778
100,6382549388,Morning Ride,2021-12-14T11:07:33Z,2021-12-14T08:07:33Z,Ride,25463.4,4254,4648,302.0,Ride,b9757407,5.986,12.858
101,6375241450,Morning Ride,2021-12-12T10:27:58Z,2021-12-12T07:27:58Z,Ride,26173.4,7787,16266,596.7,Ride,b9757407,3.361,13.951
102,6382549385,Morning Ride,2021-12-11T11:21:10Z,2021-12-11T08:21:10Z,Ride,21444.6,4299,15233,477.0,Ride,b9757407,4.988,14.374
103,6333961464,Morning Ride,2021-12-02T10:50:40Z,2021-12-02T07:50:40Z,Ride,13355.8,4377,5172,443.0,Ride,b9757407,3.051,9.424
104,6321209985,Morning Ride,2021-11-27T11:32:43Z,2021-11-27T08:32:43Z,Ride,22703.3,4843,16370,579.0,Ride,b9757407,4.688,12.548
105,6309591984,Morning Ride,2021-11-26T10:34:23Z,2021-11-26T07:34:23Z,Ride,19326.6,6041,7537,644.0,Ride,b9757407,3.199,11.94
106,6300828343,Morning Ride,2021-11-24T10:36:07Z,2021-11-24T07:36:07Z,Ride,24825.9,4535,4627,312.0,Ride,b9757407,5.474,13.068
107,6296321210,Morning Ride,2021-11-23T10:34:11Z,2021-11-23T07:34:11Z,Ride,12315.1,4092,4918,426.0,Ride,b9757407,3.01,10.247
108,6275000006,Morning Ride,2021-11-18T10:45:37Z,2021-11-18T07:45:37Z,Ride,8752.9,2771,3095,294.0,Ride,b9757407,3.159,11.716
109,6242779471,Morning Ride,2021-11-11T10:37:38Z,2021-11-11T07:37:38Z,Ride,15827.8,5394,6570,558.0,Ride,b9757407,2.934,10.004
110,6233390475,Morning Ride,2021-11-09T10:23:30Z,2021-11-09T07:23:30Z,Ride,27320.2,4673,4698,366.0,Ride,b9757407,5.846,13.686
111,6225404606,Morning Ride,2021-11-07T11:37:35Z,2021-11-07T08:37:35Z,Ride,12669.7,4140,10586,420.9,Ride,b9757407,3.06,13.248
112,6220223104,Morning Ride,2021-11-06T11:19:47Z,2021-11-06T08:19:47Z,Ride,22497.3,4578,15905,453.9,Ride,b9757407,4.914,13.867
113,6210600986,Morning Ride,2021-11-04T10:34:20Z,2021-11-04T07:34:20Z,Ride,13655.1,4702,5695,497.0,Ride,b9757407,2.904,12.072
114,6210600842,Morning Ride,2021-11-02T11:23:14Z,2021-11-02T08:23:14Z,Ride,25144.8,6886,15653,716.0,Ride,b9757407,3.652,12.956
115,6192821753,Morning Ride,2021-10-31T12:51:35Z,2021-10-31T09:51:35Z,Ride,22229.1,5370,7594,431.9,Ride,b9757407,4.139,10.748
116,6189009858,Afternoon Ride,2021-10-30T18:39:16Z,2021-10-30T15:39:16Z,Ride,13973.8,5127,5433,467.0,Ride,b9757407,2.726,10.117
117,6179505572,Morning Ride,2021-10-28T10:35:00Z,2021-10-28T07:35:00Z,Ride,23210.9,4057,4118,279.0,Ride,b9757407,5.721,13.396
