,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,start_latlng,end_latlng,external_id
115,6189009858,Afternoon Ride,2021-10-30T15:39:16Z,Ride,13973.8,5127,5433,467.0,"[-22.159425672143698, -43.29030222259462]","[-22.16235615313053, -43.287596544250846]",garmin_push_7741543441
116,6179505572,Morning Ride,2021-10-28T07:35:00Z,Ride,23210.9,4057,4118,279.0,"[-22.159367920830846, -43.2903515920043]","[-22.159410417079926, -43.29042007215321]",garmin_push_7730913922
117,6155462822,Morning Ride,2021-10-23T08:12:53Z,Ride,24684.8,6316,16576,527.3,"[-22.159334309399128, -43.290511686354876]","[-22.159389043226838, -43.29036399722099]",garmin_push_7704293141
118,6179505452,Morning Ride,2021-10-22T07:40:16Z,Ride,16265.2,3768,4336,288.0,"[-22.159820292145014, -43.290442284196615]","[-22.159401699900627, -43.29041303135455]",garmin_push_7730913815
119,6127037436,Morning Ride - Big Day,2021-10-17T08:34:36Z,Ride,25358.6,6603,10306,587.6,"[-22.159411, -43.290437]","[-22.159397, -43.290377]",garmin_push_7672708871
120,6123026176,Afternoon Ride ,2021-10-16T14:44:45Z,Ride,26562.9,5591,7048,263.6,"[-22.159833, -43.290611]","[-22.159427, -43.290387]",garmin_push_7668425208
121,6116409878,Morning Ride,2021-10-15T07:35:53Z,Ride,21183.8,5666,6225,472.0,"[-22.159381, -43.290381]","[-22.159335, -43.290469]",garmin_push_7661094789
122,6087566484,Morning Ride - Big Line,2021-10-09T08:13:41Z,Ride,26252.9,6676,13307,644.1,"[-22.1594, -43.290459]","[-22.159327, -43.290465]",garmin_push_7629257328
123,6047221472,Morning Ride,2021-10-01T07:20:27Z,Ride,27789.0,5058,5101,389.0,"[-22.159021, -43.290245]","[-22.159385, -43.29043]",garmin_push_7584632787
124,6032266489,Morning Ride,2021-09-28T07:31:10Z,Ride,26639.1,4547,4603,379.0,"[-22.159809, -43.290426]","[-22.15939, -43.290393]",garmin_push_7568157541
125,6017443767,Morning Ride - Big LINE ++,2021-09-25T07:43:52Z,Ride,26643.7,9031,17272,756.2,"[-22.159514, -43.290144]","[-22.159389, -43.290516]",garmin_push_7551950993
126,6008483000,Morning Ride,2021-09-23T07:33:07Z,Ride,13726.6,4468,5118,513.0,"[-22.159955, -43.290693]","[-22.159401, -43.290373]",garmin_push_7542207037
127,5995421082,Morning Ride,2021-09-21T07:37:35Z,Ride,27282.3,4638,4638,370.0,"[-22.158888, -43.290394]","[-22.159335, -43.290431]",garmin_push_7527912862
